ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1322585061452034048,2020-10-31 17:03:45+00:00,"Folks, we’re just three days from Election Day — and what you do between now and when polls close on Tuesday will determine the course of our country for generations to come. 

Sign up to help us get voters to the polls: https://t.co/WSKsQEip4U",1671,3542,24947
1322569017412997122,2020-10-31 16:00:00+00:00,Who let all these people into my basement? https://t.co/E17SPqmXib,19339,69169,487416
1322561466357211136,2020-10-31 15:30:00+00:00,"3 days.

Stay empowered, stay optimistic, stay united.",6528,22095,214012
1322551400191135744,2020-10-31 14:50:00+00:00,"The urgency of this election couldn’t be greater — and the stakes couldn’t be higher. 

Don’t wait: go to https://t.co/eoxT07d7QB and vote early today.",2017,2361,14449
1322543347236438016,2020-10-31 14:18:00+00:00,Be a patriot. Wear a mask. https://t.co/o2v9xP24A9,8320,11642,91206
1322531268152729601,2020-10-31 13:30:00+00:00,"Every single American deserves access to regular, reliable, and free COVID-19 testing. Period.",3563,12389,130204
1322519943167021056,2020-10-31 12:45:00+00:00,"President Trump still has no plan to address COVID-19.

He quit on you, on your family, on America. He just wants us to grow numb to the horrors of the death toll and the pain.

We cannot afford another four years of his failed leadership.",5321,17298,117120
1322512392937525249,2020-10-31 12:15:00+00:00,"The future of this country is in your hands.

Make a plan to vote now. https://t.co/uoiVh9ZqzI",1622,3207,22260
1322504843244744704,2020-10-31 11:45:00+00:00,"I believe every American deserves to retire with dignity.

https://t.co/mVwdWJ1owh https://t.co/iyekmiUqvP",1588,4037,24560
1322493526878253057,2020-10-31 11:00:02+00:00,"This is your chance to be a part of history.

Vote: https://t.co/eoxT07uII9 https://t.co/4bH8iawiSE",1321,2951,18191
1322380775715598336,2020-10-31 03:32:00+00:00,"Moody’s Analytics projects that my plan will create 18.6 million jobs — over 7 million more jobs than President Trump’s plan.

We’re going to build back better and ensure everyone has a fair shot to get ahead. https://t.co/rt5RD9Fdi0",2463,4001,20317
1322372724220600320,2020-10-31 03:00:00+00:00,Alfonso vino aquí con un sueño. Y su futuro ha sido robado. Ya es suficiente. https://t.co/VHGK9dYNRA,1328,2103,11863
1322365174288797696,2020-10-31 02:30:00+00:00,Let me be clear: Anyone who is responsible for plunging and ensnaring America in this crisis — anyone who could do so without an ounce of shame or a shred of empathy — should not be president. https://t.co/Rps7MFavJX,3718,9948,62057
1322356364828569602,2020-10-31 01:55:00+00:00,"From the climate crisis to student debt and gun violence — there's so much on the line in this election, and young people have the power to own the outcome.

So vote, and let's build a better future together: https://t.co/eoxT07uII9 https://t.co/YDClI2GvBw",1820,2867,15038
1322347053670825984,2020-10-31 01:18:00+00:00,"Love will always win. Congratulations, @S10Bird and @mPinoe! https://t.co/isj9Q2R3R8",2464,9031,141013
1322342775518457856,2020-10-31 01:01:00+00:00,"This Domestic Violence Awareness Month, I recommit to ensuring domestic violence is treated like the crime it is, and to ensuring survivors receive the support they need. I've spent my entire career fighting domestic abuse — and will continue that fight as president. #DVAM",1951,5898,42643
1322329396263354368,2020-10-31 00:07:50+00:00,Your vote will help determine the future of our country. I’m in Wisconsin to urge folks to use that power. Tune in. https://t.co/UOPVdn58z0,1660,1944,12078
1322320377943527424,2020-10-30 23:32:00+00:00,"More than 9 million cases of COVID-19 have been now confirmed in the United States — and more than 228,000 Americans have lost their lives.

It is as severe an indictment of a president’s record as one can possibly imagine, and it is utterly disqualifying.",4996,7676,49312
